2;-5 -4 -3 -1
1;-5 -4 -3 -1 0
32;-43 33 87 91 3 75 8 -60 -81 70 -18 -69 -23 -20 -31 -59 -81 59 65 -57 92 43 -83 53 94 75 -92 -51 73 97 -69 62 40 -65 1 -49 68 -62 25 26 8 48 31 -49 -80 -57 19 -41 14 -31 -58 44 -66 -46 83 -7 -33 67 65 -45 -30 9 -53 56 56 5 -43 -5 41 -98 -12 -34 89 -52 32 5 95
3;-15 12 10 87 -20 -56 -42 79 -39 15 39 -13 48 -39 33 61 -14
6;-30 62 39 18 5 68 11 -77 22 -59 -98 85 -38 5 11 86 57 73 -45 10 -75 87 -50 -19 -27 48 14 43 76 -78 -76 -68 -52 50 21 46 44 83 49 94 96 -12 -18 25 -23 86
6;84 25 -52 92 61 87 71 7 81 98 -48 -25 73 17 -78 24 92 -51 -97 58 -51 14 93 56 16 -90 32 -37 -19 -64 95 -93 15 4 -28 -2 64
50;-47 63 14 -75 54 -31 -18 -47 13 39 -14 -52 74 -53 -54 39 67 80 7 5 36 -35 1 20 -71 -67 9 57 56 -40 94 -59 -4 -30 70 26 -48 -76 37 -91 42 27 13 7 67 -71 37 67 21 76 22 50 -76 48 41 -55 -52 -72 5 -35 85 88 -39
5;-6 -25 -47 8 43 -90 -42 1 4 47 -17 -3 0 -82 57 65 43 88 -12 -24 -79 90 -45 66 -58 37 -42 84 81 66 4 7 82 39 33 92 -61 2 5 -19 57 -38 38 -84 4 83 -1 50 85 15 -48 -89
16;58 -61 3 29 -23 84 -51 38 -93 46 75 -53 -99 60 -84 11 -81 14 15 -69 89 28 -35 1 -77 21 62 -31 -90 -25 -26 45 85 47 -49 -73 73 -34 31 -46 15 78 17 -23 11 -4 -79 -91 6 -86 53 -80 -96 25 43 83 60 5 12 84 -75 30 43 -99 4 -7 -37 -69 -69 -40 16 -47 24 35 62 86 -90 38
15;95 -11 -76 -44 42 4 6 -36 -77 81 3 37 59 -94 -67 -53 -71 89 -41 5 -4 -11 -31 40 -94 -49 81 42 78 -56 12 91 -81 66 19 -14 -3 22 31 60 -35 89 60 94 65 13 27 45 -74 -10 -64 9 -53 84 -77 50 -74 6 92 15 5 -91 -94 97 97 18 52 12 -32 13 54 31 -25 -72 -2 -50 44 43 99
35;-43 -75 74 54 -65 -87 -99 -91 81 84 1 -19 67 -76 -38 76 -89 72 83 44 -8 91 6 14 22 -41 -51 62 -92 33 91 -14 88 -74 39 -62 70 2 60 23 68 -19 9 87 -42 -51 -77 36 -33 -5 -34 29 -48 -17 -45 -17 -5 13 -88 -26 48 12 22 5 24 -9 -77 -52 13 -58 -31 -28 34 -67 53 79 -99 -98 30 65 -98 -41 -23 99 -44 -69 -51 -89
31;-75 -5 42 69 -30 -78 94 -78 13 -13 -53 14 -32 -86 -11 -37 -60 -11 -84 75 34 -85 33 -11 13 7 45 98 -73 20 47 73 -99 -6 -4 80 29 -21 49 51 53 -53 -78 -44 -49 22 -59 39 1 79 -15 69 86 25 80 29 -97 71 56 -50 20
45;12 -16 -1 -34 -91 81 25 -73 18 -30 50 -59 -88 37 30 -98 46 97 -19 -95 70 -54 5 -57 -31 35 -49 -97 97 -22 98 -45 36 60 -74 -12 -4 -73 -14 62 -98 -36 18 -57 -5 95 47 -39 -48 -31 -76 -98 -14 24 87 -46 -44 31 -10 37 -31 0 81 -36 80 61 -57 -35 20 -64 11 -85 11 -67
40;25 -74 11 -55 -84 -66 -65 9 16 8 43 -95 -51 -54 -1 -98 -38 -5 5 88 66 91 -7 88 -86 52 -41 -76 68 -89 38 96 -21 -84 42 34 -39 -48 -49 60 -32 -80 12 48 -99 -18 57 -94 -14 -81 75 -15 45 -99 54 49 79 14 75
48;43 -40 19 98 -90 17 -33 91 -36 -36 -16 -61 -34 -88 -55 75 -37 24 -91 -45 13 47 -67 13 28 28 0 -37 4 41 -96 20 56 -60 36 -74 -26 -31 -77 -8 91 47 48 62 -39 97 78 -27 50 94 -24 -60 80 -42 1 -3 -16 -18 12 -91 48 -96 -12 -85 -83 80 -71 38 -2 -9 29 18 -15 61 -95 9 -60 15 92 60 -21 37 44 10 -13 21 -89 96 48 -10
28;-74 12 -67 60 27 36 71 -35 3 -51 -36 -87 24 20 -78 83 -49 -42 -56 -76 73 89 -52 -24 82 -14 -30 70 -56 92 83 60 -65 -10 -68 -31 -84 47 -18 11 0 97 -28 26 -56 29 55 22 -44 11 -36 5 96 -24 -94 -30 9 55 98 29 49 62 70 -2 -16 -72 -27 -45 -83 -13 74 21 68 -59 8 -3 -46 27 32 -27 56 -13 -99 67 25 77 9
26;-47 -32 12 -78 -91 79 -43 23 -35 77 9 23 1 -61 -44 -70 -2 51 3 -58 -89 -6 -17 -65 -1 -78 87 -12 30 -87 17 69 74 48 -50 13 -65 -67 -72 -79
