51 55 18 31 30 28 34 1 63 4 93 52 57 79 | 2
10 58 49 55 29 35 52 99 62 63 97 79 6 9 8 86 90 72 | 1
25 26 66 55 39 43 34 99 76 3 74 89 88 67 92 | 5
5 4 3 2 1 | 2
38 14 46 47 31 35 77 61 3 5 53 71 93 4 | 2
2 10 38 49 18 44 88 53 99 27 62 89 4 47 90 100 72 | 3
9 58 48 16 19 54 67 50 35 43 91 72 32 82 34 68 | 3
20 15 58 37 57 51 36 34 75 63 66 59 92 | 2
24 13 17 34 75 5 68 90 79 | 1
12 46 32 28 77 37 71 54 100 97 | 8
19 47 44 56 29 35 43 55 63 65 32 9 83 80 | 7
21 17 46 57 22 29 73 84 9 94 79 | 3
48 37 88 36 98 62 63 89 92 87 | 2
12 20 55 32 56 43 52 77 88 74 41 95 87 | 5
25 13 20 58 44 50 1 62 4 69 15 86 | 2
11 20 44 30 34 70 69 100 81 84 96 | 7
25 38 14 48 55 47 56 51 35 98 63 73 53 6 82 81 95 28 | 4
24 60 15 48 46 53 34 77 61 75 72 71 6 20 | 7
11 25 26 20 14 49 30 29 3 77 62 64 67 8 80 86 93 | 8
91 27 14 61 19 1 82 3 74 68 96 | 2
10 15 48 22 25 60 61 74 71 20 84 85 | 6
25 12 22 16 45 62 91 90 94 | 2
11 13 30 76 46 31 23 37 29 52 1 61 64 49 5 93 73 79 | 8
26 12 21 46 47 31 43 35 41 60 55 2 5 40 71 64 57 | 6
39 38 55 32 57 37 50 35 71 67 82 31 79 96 | 2
26 15 23 33 51 44 28 43 62 3 74 64 69 93 31 13 85 | 2
25 26 56 15 55 57 45 51 29 35 50 98 2 73 53 7 67 68 | 4
14 16 46 32 62 58 77 61 3 89 8 9 69 80 87 74 78 | 2
59 16 44 15 37 52 60 76 4 7 69 100 57 97 85 | 7
25 39 22 23 49 56 36 50 77 76 4 70 91 93 68 | 8
25 12 59 50 76 74 95 85 | 7
10 39 23 19 54 43 60 33 75 6 83 87 96 | 1
27 15 58 74 49 55 37 30 51 41 75 63 64 90 83 97 | 8
24 22 37 50 52 76 2 64 69 68 90 80 41 79 | 6
27 46 55 18 30 42 41 61 89 74 5 97 83 69 100 34 56 84 | 8
10 86 30 14 48 49 19 47 45 50 77 67 91 93 95 58 | 2
38 59 21 30 73 91 100 84 85 | 7
25 45 55 47 30 37 46 75 64 7 100 | 6
13 38 20 17 46 54 55 66 47 81 84 78 | 5
72 38 65 48 28 53 52 96 12 89 40 67 80 85 79 78 | 8
